step	status	workdir	command	log_file
s1_lint	SKIP	/__skip__	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S1/s1_lint.log
s1_typecheck_or_check	SKIP	/__skip__	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S1/s1_typecheck_or_check.log
s1_build	SKIP	/__skip__	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S1/s1_build.log
s2_backend_lint	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/backend	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_backend_lint.log
s2_backend_typecheck_or_check	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/backend	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_backend_typecheck_or_check.log
s2_backend_build	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/backend	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_backend_build.log
s2_apps_site-publico_lint	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/site-publico	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_site-publico_lint.log
s2_apps_site-publico_typecheck_or_check	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/site-publico	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_site-publico_typecheck_or_check.log
s2_apps_site-publico_build	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/site-publico	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_site-publico_build.log
s2_apps_admin_lint	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/admin	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_admin_lint.log
s2_apps_admin_typecheck_or_check	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/admin	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_admin_typecheck_or_check.log
s2_apps_admin_build	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/admin	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_admin_build.log
s2_apps_guest_lint	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/guest	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_guest_lint.log
s2_apps_guest_typecheck_or_check	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/guest	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_guest_typecheck_or_check.log
s2_apps_guest_build	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/guest	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_guest_build.log
s2_apps_turismo_lint	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/turismo	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_turismo_lint.log
s2_apps_turismo_typecheck_or_check	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/turismo	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_turismo_typecheck_or_check.log
s2_apps_turismo_build	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/apps/turismo	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_apps_turismo_build.log
s2_packages_shared_lint	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/packages/shared	npm run lint --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_packages_shared_lint.log
s2_packages_shared_typecheck_or_check	PASS	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/packages/shared	npm run type-check --if-present || npm run check --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_packages_shared_typecheck_or_check.log
s2_packages_shared_build	FAIL	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/packages/shared	npm run build --if-present	/mnt/c/Users/RSV 360/Documents/Sistema Reservei Viagens com todos os Servidores/docs/evidence/2026-05-28/logs/S2/s2_packages_shared_build.log
